Ticket_no,Customer complaints,Date,Date_month_year,Time,Received via,City,State,Zip,Status,Filling on behalf of someone
330456,comcast internet connection and speed,2015-09-06,06 September 2015,13:38:18,Customer Care Call,Chicago,Illinois,60612,Closed,Yes
330180,Comcast Cable & Internet,2015-09-06,06 September 2015,12:12:48,Internet,Chicago,Illinois,60611,Solved,No
339886,comcast: no service for one month,2015-06-14,14 June 2015,12:27:53,Customer Care Call,Chicago,Illinois,60657,Solved,No
341405,Comcast,2015-06-15,15 June 2015,15:01:35,Internet,Chicago,Illinois,60657,Solved,No
342222,Comcast did not remove charge for over a year,2015-06-15,15 June 2015,19:54:39,Customer Care Call,Chicago,Illinois,60625,Solved,No
343753,Comcast charging for services not rendered,2015-06-16,16 June 2015,15:44:58,Customer Care Call,Chicago,Illinois,60637,Solved,No
347598,price inflation due to monopoly of Comcast,2015-06-17,17 June 2015,22:38:05,Internet,Chicago,Illinois,60646,Solved,No
347580,Double charge my internet service every month,2015-06-17,17 June 2015,22:25:59,Internet,Chicago,Illinois,60616,Solved,No
358598,Unfair Billing Practices,2015-06-23,23 June 2015,14:21:10,Internet,Chicago,Illinois,60622,Solved,No
359956,Comcast Billing/Monopoly/Service,2015-06-23,23 June 2015,19:45:25,Customer Care Call,Chicago,Illinois,60457,Closed,No
358620,Tricked into upgrade,2015-06-23,23 June 2015,14:24:35,Internet,Chicago,Illinois,60618,Solved,No
361003,Comcast Unfair Business Practices,2015-06-24,24 June 2015,09:24:05,Internet,Chicago,Illinois,60626,Solved,No
361084,internet speeds slow,2015-06-24,24 June 2015,09:52:45,Internet,Chicago,Illinois,60657,Solved,Yes
360620,Faulty Service and False Advertisement,2015-06-24,24 June 2015,00:22:34,Internet,Chicago,Illinois,60607,Solved,No
366291,Comcast started charging a lease fee for equipment I own after enabling automatic bill payment,2015-06-25,25 June 2015,16:35:18,Customer Care Call,Chicago,Illinois,60625,Solved,No
373777,Comcast/Xfinity Service Manipulation,2015-06-29,29 June 2015,22:05:50,Customer Care Call,Chicago,Illinois,60618,Solved,No
373309,unsatisfactory speed with disorganized service,2015-06-29,29 June 2015,18:11:21,Internet,Chicago,Illinois,60614,Open,No
375500,Comcast billing and service,2015-06-30,30 June 2015,16:46:18,Internet,Chicago,Illinois,60625,Solved,No
376064,Unfair Billing Practices,2015-06-30,30 June 2015,20:18:48,Customer Care Call,Chicago,Illinois,60608,Solved,No
367366,Xfinity Price and not 16Mbps when paying for 50Mbps,2015-06-26,26 June 2015,04:22:34,Internet,Chickamauga,Georgia,30707,Open,No
264757,Xfinity Order Status,2015-04-29,29 April 2015,16:31:16,Customer Care Call,Citrus Heights,California,95621,Closed,No
331935,Comcast violating Open Internet rules,2015-10-06,06 October 2015,01:44:03,Customer Care Call,Citrus Heights,California,95611,Solved,Yes
354309,Billing/Customer Service,2015-06-20,20 June 2015,20:56:19,Internet,Citrus Heights,California,95610,Solved,No
316846,Comcast is double billing me and not processing my credit back to me,2015-01-06,06 January 2015,13:59:23,Customer Care Call,City Of Orange,New Jersey,7050,Closed,No
367352,Comcast internet speeds,2015-06-26,26 June 2015,02:58:36,Customer Care Call,Clairton,Pennsylvania,15025,Solved,Yes
215755,Comcast lies and deception,2015-03-04,04 March 2015,08:24:30,Internet,Clarkston,Michigan,48348,Closed,No
222582,Comcast over billing,2015-07-04,04 July 2015,17:48:21,Customer Care Call,Clarkston,Michigan,48348,Closed,No
338507,Comcast Internet cable and phone outtages,2015-12-06,06 December 2015,21:46:12,Customer Care Call,Clarkston,Michigan,48346,Solved,No
338606,Internet connection outage,2015-12-06,06 December 2015,23:52:11,Customer Care Call,Clarkston,Michigan,48346,Solved,No
362956,Comcast Throttling Internet Speed,2015-06-24,24 June 2015,17:35:01,Customer Care Call,Clawson,Michigan,48017,Open,No
267711,Comcast Xfinity Overage Charges No Assistance,2015-04-30,30 April 2015,22:14:27,Internet,Claxton,Georgia,30417,Closed,No
369578,Service outages (Comcast),2015-06-27,27 June 2015,01:10:36,Customer Care Call,Clermont,Georgia,30527,Solved,Yes
362724,Comcast Billing,2015-06-24,24 June 2015,16:37:27,Internet,Clinton,Maryland,20735,Open,No
307701,Charges not authorized,2015-05-26,26 May 2015,15:54:52,Customer Care Call,Clio,Michigan,48420,Solved,No
242189,comcast/xfinity,2015-04-17,17 April 2015,17:50:07,Customer Care Call,Closter,New Jersey,7624,Closed,Yes
228974,Cocmast (internet),2015-10-04,04 October 2015,14:08:27,Customer Care Call,Clovis,California,93612,Closed,No
323310,Comcast/Xfinity,2015-04-06,06 April 2015,13:28:36,Internet,Clovis,California,93612,Closed,No
354467,XFINITY/COMCAST TETHERING CONNECTION,2015-06-21,21 June 2015,03:20:59,Customer Care Call,Clovis,California,93612,Open,No
307370,"XFinity ""Comcast"" CLOSED SCHEDULED APPT AND SAID IT WAS OPEN",2015-05-26,26 May 2015,14:05:49,Internet,Coconut Creek,Florida,33066,Solved,No
311844,Service Issues,2015-05-28,28 May 2015,15:21:00,Internet,Coconut Creek,Florida,33073,Solved,No
249320,ComCast Internet Outage,2015-04-22,22 April 2015,00:23:14,Internet,Coeburn,Virginia,24230,Closed,Yes
321762,Comcast,2015-03-06,06 March 2015,17:01:33,Customer Care Call,College Park,Georgia,30349,Open,No
218516,Additional Usage @$10/50GB,2015-05-04,04 May 2015,15:17:39,Customer Care Call,Collierville,Tennessee,38017,Closed,No
256506,Comcast data caps,2015-04-24,24 April 2015,22:04:59,Customer Care Call,Collierville,Tennessee,38017,Closed,Yes
359317,Comcast billing practices,2015-06-23,23 June 2015,16:44:22,Internet,Collinsville,Virginia,24078,Solved,No
254426,very poor customer service,2015-04-24,24 April 2015,00:28:44,Customer Care Call,Colonia,New Jersey,7067,Closed,No
360207,internet speed,2015-06-23,23 June 2015,21:31:00,Customer Care Call,Colorado Spring,Colorado,80911,Open,Yes
216279,Another Fraudulenct collection claim from Comcast,2015-03-04,04 March 2015,12:43:17,Customer Care Call,Colorado Springs,Colorado,80908,Closed,No
230071,Comcast and CenturyLink failing Wissler Ranch Colorado Community,2015-10-04,04 October 2015,21:20:51,Customer Care Call,Colorado Springs,Colorado,80908,Closed,No
257026,Tried to cancel was lied to about change in service,2015-04-25,25 April 2015,14:48:21,Customer Care Call,Colorado Springs,Colorado,80903,Closed,Yes
287000,Xfinity Throttling Apple TV bitrate,2015-05-13,13 May 2015,03:15:58,Customer Care Call,Colorado Springs,Colorado,80918,Open,No
315874,Comcast Termination Fee,2015-05-31,31 May 2015,17:54:06,Customer Care Call,Colorado Springs,Colorado,80910,Solved,No
336234,Unresolved Issues,2015-12-06,06 December 2015,07:59:56,Customer Care Call,Colorado Springs,Colorado,80909,Closed,No
359931,no warning before price increase,2015-06-23,23 June 2015,19:36:54,Customer Care Call,Colorado Springs,Colorado,80907,Solved,No
363251,Comcast unfair billing,2015-06-24,24 June 2015,19:19:55,Customer Care Call,Colorado Springs,Colorado,80906,Solved,No
368799,Comcast overbilling and overcharging,2015-06-26,26 June 2015,16:26:20,Internet,Colorado Springs,Colorado,80906,Solved,Yes
354541,COMCAST SERVICE COMPLAINT,2015-06-21,21 June 2015,10:40:18,Customer Care Call,Columbia,Maryland,21044,Solved,No
355761,Charge to my bill unknowingly,2015-06-22,22 June 2015,13:14:07,Customer Care Call,Columbia,Maryland,21044,Solved,No
221714,billing,2015-07-04,04 July 2015,13:34:48,Customer Care Call,Columbiana,Ohio,44408,Closed,No
251830,Internet and phone pricing,2015-04-23,23 April 2015,10:23:47,Internet,Columbus,Indiana,47203,Closed,No
360308,Worst speed no competition and billing does not match the service.,2015-06-23,23 June 2015,22:12:08,Internet,Columbus,Indiana,47201,Solved,No
281798,Comcast bundled service,2015-09-05,05 September 2015,12:44:18,Customer Care Call,Commerce City,Colorado,80022,Solved,No
280486,Charged for equipment that I didn't have,2015-08-05,05 August 2015,14:32:54,Customer Care Call,Concord,California,94520,Solved,No
359962,Comcast misrepresented their service area then charged me for attempting to use it.,2015-06-23,23 June 2015,19:47:44,Internet,Concord,California,94521,Solved,No
248736,Comcast Xfinity,2015-04-21,21 April 2015,17:44:39,Internet,Concord,New Hampshire,3301,Closed,No
358558,Comcast Does Not Deliver Service,2015-06-23,23 June 2015,14:14:55,Customer Care Call,Conshohocken,Pennsylvania,19428,Solved,Yes
367651,Slow internet speeds on Comcast,2015-06-26,26 June 2015,10:41:23,Customer Care Call,Conshohocken,Pennsylvania,19428,Pending,No
302833,Comcast service,2015-05-22,22 May 2015,07:59:52,Internet,Conyers,Georgia,30013,Solved,No
361815,Nonsensical Raise in my Internet Bill,2015-06-24,24 June 2015,13:00:32,Internet,Coral Gables,Florida,33134,Solved,No
215011,Comcast service billing,2015-02-04,04 February 2015,17:13:30,Internet,Cordova,Tennessee,38018,Closed,No
243443,Comcast Runaround,2015-04-18,18 April 2015,22:42:01,Customer Care Call,Cordova,Tennessee,38018,Closed,No
360340,Cruel and Illegal Practices - Comcast,2015-06-23,23 June 2015,22:19:20,Internet,Cordova,Tennessee,38016,Solved,Yes
371399,Throttled speed,2015-06-29,29 June 2015,00:10:09,Internet,Cordova,Tennessee,38018,Pending,No
221047,Transfer services,2015-07-04,04 July 2015,09:46:30,Customer Care Call,Corryton,Tennessee,37721,Closed,No
222682,Comcast agent lied about service upgrade,2015-07-04,04 July 2015,18:31:03,Internet,Corvallis,Oregon,97330,Closed,No
304120,Customer Service Representative Lied About Rates and Promotions,2015-05-22,22 May 2015,18:25:33,Internet,Corvallis,Oregon,97333,Solved,No
360766,Comcast service Corvallis OR.,2015-06-24,24 June 2015,02:31:09,Customer Care Call,Corvallis,Oregon,97330,Open,No
360800,Unexplained Billing,2015-06-24,24 June 2015,03:17:38,Customer Care Call,Corvallis,Oregon,97330,Open,No
338940,Comcast/Xfinity Internet,2015-06-13,13 June 2015,12:15:42,Customer Care Call,Cottage Grove,Minnesota,55016,Solved,No
342392,Lack of availability,2015-06-15,15 June 2015,21:34:28,Internet,Cottonwood,Alabama,36320,Open,No
367187,Comcast bill problems,2015-06-25,25 June 2015,22:08:55,Internet,Cottonwood Heights,Utah,84121,Solved,No
358556,Unfair billing practices,2015-06-23,23 June 2015,14:14:10,Internet,Cottrellville,Michigan,48039,Solved,No
360356,Comcast Data Caps,2015-06-23,23 June 2015,22:27:40,Customer Care Call,Covington,Georgia,30016,Pending,No
360214,Comcast Internet is unbelievably slow,2015-06-23,23 June 2015,21:33:15,Internet,Crest Hill,Illinois,60403,Pending,No
273147,Comcast Refuse to Refund Rental Fee made in error,2015-05-05,05 May 2015,09:42:35,Customer Care Call,Crofton,Maryland,21114,Solved,No
359243,COMCAST,2015-06-23,23 June 2015,16:27:05,Internet,Crown Point,Indiana,46307,Solved,Yes
362056,Issues with Cable and Internet Packaging Unfair Prices,2015-06-24,24 June 2015,14:05:57,Internet,Crystal Lake,Illinois,60014,Open,No
370825,Comcast Internet Speed and Reliability,2015-06-28,28 June 2015,11:39:26,Customer Care Call,Crystal Lake,Illinois,60014,Pending,No
349836,cable internet,2015-06-18,18 June 2015,16:03:26,Internet,Culpeper,Virginia,22701,Solved,No
308341,Monopoly and Deceit: The 300GB Data Cap,2015-05-26,26 May 2015,20:18:32,Internet,Cumming,Georgia,30040,Solved,No
308477,comcast xfinity home security service,2015-05-26,26 May 2015,21:44:05,Customer Care Call,Cumming,Georgia,30041,Solved,No
312553,Comcast bait and switch,2015-05-28,28 May 2015,19:50:03,Internet,Cumming,Georgia,30040,Pending,No
325844,Comcast Data Cap in Atlanta GA,2015-05-06,06 May 2015,16:14:22,Customer Care Call,Cumming,Georgia,30041,Solved,No
331839,Cap on data usage,2015-09-06,06 September 2015,22:48:20,Customer Care Call,Cumming,Georgia,30028,Solved,No
338753,Data Cap,2015-06-13,13 June 2015,08:50:32,Customer Care Call,Cumming,Georgia,30041,Solved,No
358141,Data usage,2015-06-23,23 June 2015,12:38:36,Customer Care Call,Cumming,Georgia,30040,Solved,No
361026,Extorted into signing up for multi-year contract,2015-06-24,24 June 2015,09:35:25,Internet,Cumming,Georgia,30040,Solved,No
361262,Comcast Selectively Enforcing Data Caps,2015-06-24,24 June 2015,10:46:11,Customer Care Call,Cumming,Georgia,30028,Solved,No
371490,Comcast Usage Caps,2015-06-29,29 June 2015,07:35:52,Customer Care Call,Cumming,Georgia,30040,Solved,No
317983,Comcast Internet Service Bad Quality,2015-01-06,06 January 2015,22:11:03,Internet,Cupertino,California,95014,Closed,No
322002,Ping spikes and packet loss,2015-03-06,06 March 2015,18:08:14,Internet,Cupertino,California,95014,Open,No
349925,Comcast complaint,2015-06-18,18 June 2015,16:22:55,Internet,Cupertino,California,95014,Open,No
300994,comcast phone & internet billing issue,2015-05-21,21 May 2015,11:31:51,Customer Care Call,Cutler Bay,Florida,33189,Closed,No
360885,Comcast Xfinity charging rental fee for personally owned modem,2015-06-24,24 June 2015,07:34:53,Customer Care Call,Cutler Bay,Florida,33190,Solved,No
360740,Horrific billing,2015-06-24,24 June 2015,01:51:01,Customer Care Call,Cypress,Texas,77429,Closed,No
304707,Comcast / Xfinity overcharging for internet / internet cap,2015-05-23,23 May 2015,12:16:54,Customer Care Call,Dacula,Georgia,30019,Solved,No
370897,Comcast Money Grab using Data Caps,2015-06-28,28 June 2015,13:07:00,Customer Care Call,Dacula,Georgia,30019,Pending,No
371339,Comcast Internet Service Provider,2015-06-28,28 June 2015,22:16:48,Internet,Dacula,Georgia,30019,Open,No
374265,Fraudulent charges by Comcast,2015-06-30,30 June 2015,11:12:33,Customer Care Call,Dacula,Georgia,30019,Solved,No
321859,Comcast Data Cap Compliant,2015-03-06,06 March 2015,17:19:36,Customer Care Call,Dallas,Georgia,30132,Solved,No
361174,Billings Charges & Credits,2015-06-24,24 June 2015,10:22:03,Internet,Dallas,Georgia,30157,Solved,Yes
361593,Comcast Data Cap Limits Lack of Competition and Anti-Competition Business and Billing Practices,2015-06-24,24 June 2015,12:15:00,Internet,Dallas,Georgia,30132,Pending,No
374783,Deceptive Billing Practices,2015-06-30,30 June 2015,13:38:28,Customer Care Call,Dallas,Georgia,30132,Pending,No
363368,Billing Complaint,2015-06-24,24 June 2015,20:22:55,Customer Care Call,Daly City,California,94015,Solved,No
242847,Comcast Unfair Billing Practices,2015-04-18,18 April 2015,11:54:54,Customer Care Call,Dania Beach,Florida,33004,Closed,No
351573,"Comcast ""property access"" or ""right of entry""",2015-06-19,19 June 2015,12:05:47,Internet,Danville,California,94526,Solved,Yes
371536,Internet speed,2015-06-29,29 June 2015,08:45:03,Internet,Danville,California,94526,Solved,No
236425,Robber Barron Billing Practices,2015-04-15,15 April 2015,09:59:13,Customer Care Call,Danville,Illinois,61832,Closed,No
376227,Fradualent claims,2015-06-30,30 June 2015,22:05:38,Customer Care Call,Danville,Illinois,61832,Solved,Yes
339894,Xfinity Comcast hbogo on ps4,2015-06-14,14 June 2015,12:37:53,Internet,Dartmouth,Massachusetts,2748,Open,No
262190,comcast failure to respond to user communication,2015-04-28,28 April 2015,16:27:20,Customer Care Call,Davidsonville,Maryland,21035,Closed,No
288196,xfinitty tv and exfinity alarm,2015-05-13,13 May 2015,16:00:37,Internet,Davie,Florida,33314,Solved,No
360651,Internet speed and price of bundle,2015-06-24,24 June 2015,00:39:42,Customer Care Call,Davie,Florida,33314,Solved,Yes
282820,RE: Comcast Internet Illegal charges,2015-11-05,05 November 2015,01:11:34,Internet,Davis,California,95616,Solved,No
373822,Possible Internet Speed Throttling by my Comcast Internet Provider,2015-06-29,29 June 2015,23:08:09,Customer Care Call,Davis,California,95618,Pending,No
362897,Slow speed,2015-06-24,24 June 2015,17:15:57,Customer Care Call,Dayton,Texas,77535,Solved,No
242346,Inaccurate billing,2015-04-17,17 April 2015,19:10:17,Customer Care Call,Dearborn,Michigan,48124,Closed,No
361093,Comcast Internet Pricing,2015-06-24,24 June 2015,09:55:48,Internet,Dearborn,Michigan,48124,Solved,Yes
263641,Billing/contract issue related to data cap,2015-04-29,29 April 2015,11:06:48,Customer Care Call,Decatur,Georgia,30030,Closed,No
304759,Comcast Data Billing,2015-05-23,23 May 2015,13:26:17,Internet,Decatur,Georgia,30032,Closed,No
313021,Data Caps,2015-05-29,29 May 2015,09:54:10,Customer Care Call,Decatur,Georgia,30032,Pending,No
332081,Comcast,2015-10-06,06 October 2015,09:14:45,Internet,Decatur,Georgia,30034,Solved,No
332082,Comcast,2015-10-06,06 October 2015,09:14:50,Internet,Decatur,Georgia,30034,Closed,No
347577,Comcast,2015-06-17,17 June 2015,22:23:39,Customer Care Call,Decatur,Georgia,30033,Solved,No
368187,Prolonged internet outage tardy response,2015-06-26,26 June 2015,13:30:10,Internet,Decatur,Georgia,30033,Solved,No
367526,comcast internet,2015-06-26,26 June 2015,09:38:37,Internet,Decherd,Tennessee,37324,Open,No
245446,Improper billing from Comcast,2015-04-20,20 April 2015,16:58:11,Internet,Deerfield,Illinois,60015,Closed,No
313550,Deceptive sales tactics,2015-05-29,29 May 2015,13:42:39,Customer Care Call,Deerfield Beach,Florida,33064,Open,No
330272,Misrepresentation of terms,2015-09-06,06 September 2015,12:40:11,Customer Care Call,Deerfield Beach,Florida,33442,Solved,No
364845,Consumer Fraud - Sell at One Price Then Advise Price is Higher,2015-06-25,25 June 2015,12:59:33,Internet,Deerfield Beach,Florida,33442,Solved,No
315506,Misleading communication.,2015-05-30,30 May 2015,23:15:18,Customer Care Call,Dekalb,Illinois,60115,Solved,No
262339,Comcast Chat Agent Help,2015-04-28,28 April 2015,16:59:45,Customer Care Call,Delmont,Pennsylvania,15626,Closed,No
367295,Fees,2015-06-25,25 June 2015,23:55:00,Customer Care Call,Delmont,Pennsylvania,15626,Solved,No
233417,Comcast cable company Florida,2015-04-13,13 April 2015,19:52:19,Customer Care Call,Delray Beach,Florida,33484,Closed,No
318583,Misleading Advertising,2015-02-06,06 February 2015,12:09:31,Internet,Delray Beach,Florida,33446,Closed,No
332981,Comcast,2015-10-06,06 October 2015,15:03:30,Customer Care Call,Delray Beach,Florida,33483,Solved,No
360267,Unfair Billing Practices regarding Comcast,2015-06-23,23 June 2015,21:55:33,Internet,Delray Beach,Florida,33484,Solved,No
369595,Unfair Comcast Bill,2015-06-27,27 June 2015,02:24:44,Internet,Delray Beach,Florida,33484,Open,No
218043,comcast services,2015-04-04,04 April 2015,17:32:05,Internet,Denver,Colorado,80227,Closed,No
238450,Comcast internet speeds extremely slow,2015-04-15,15 April 2015,23:55:23,Internet,Denver,Colorado,80209,Closed,No
249498,comcast internet service - billing problem,2015-04-22,22 April 2015,09:26:13,Customer Care Call,Denver,Colorado,80207,Closed,No
256302,Comcast speed and billing,2015-04-24,24 April 2015,19:11:10,Customer Care Call,Denver,Colorado,80206,Closed,No
254454,Comcast refusal to cancel service under false contract claims,2015-04-24,24 April 2015,01:47:58,Internet,Denver,Colorado,80219,Closed,Yes
278557,Terrible Service and Ripped off by Comcast,2015-07-05,05 July 2015,15:12:19,Internet,Denver,Colorado,80238,Closed,No
294253,Extremely slow internet speeds  Horrible support,2015-05-17,17 May 2015,22:18:11,Customer Care Call,Denver,Colorado,80209,Solved,No
298254,Promissed a package and then denied,2015-05-19,19 May 2015,21:25:24,Internet,Denver,Colorado,80203,Solved,No
319026,HBO GO on Playstation 3,2015-02-06,06 February 2015,14:36:31,Customer Care Call,Denver,Colorado,80231,Closed,No
326422,Comcast secretly raising my bill for services I never agreed to. Again.,2015-05-06,06 May 2015,22:18:05,Customer Care Call,Denver,Colorado,80221,Solved,No
329312,Lied about $70 technician fee,2015-08-06,06 August 2015,18:51:26,Internet,Denver,Colorado,80231,Closed,No
337337,Internet Too Slow,2015-12-06,06 December 2015,15:06:04,Internet,Denver,Colorado,80246,Solved,No
350389,Internet Speed Drops & Signal on Borderline,2015-06-18,18 June 2015,19:09:02,Customer Care Call,Denver,Colorado,80219,Solved,No
355818,Comcast Service for EXTERIOR Line Replacement Billed to customer,2015-06-22,22 June 2015,13:27:24,Internet,Denver,Colorado,80246,Solved,No
359125,Comcast Complaint,2015-06-23,23 June 2015,15:59:49,Customer Care Call,Denver,Colorado,80223,Pending,No
359237,I am being unfairly billed,2015-06-23,23 June 2015,16:25:05,Customer Care Call,Denver,Colorado,80220,Solved,No
359538,Internet Prices in U.S.A,2015-06-23,23 June 2015,17:36:44,Internet,Denver,Colorado,80210,Open,No
363079,Comcast throttling my speeds for streaming video,2015-06-24,24 June 2015,18:13:43,Customer Care Call,Denver,Colorado,80249,Pending,No
367512,Consistently slow internet speeds,2015-06-26,26 June 2015,09:32:47,Customer Care Call,Denver,Colorado,80206,Open,Yes
370212,Internet Speeds nowhere close to what I pay for,2015-06-27,27 June 2015,16:19:26,Internet,Denver,Colorado,80218,Open,No
371318,Billed without service,2015-06-28,28 June 2015,21:35:38,Internet,Denver,Colorado,80250,Open,No
370876,Slow Internet,2015-06-28,28 June 2015,12:39:00,Customer Care Call,Denver,Colorado,80220,Solved,No
309213,"Billed for modem rental for several years Comcast refuses to refund under ""caveat emptor""",2015-05-27,27 May 2015,12:54:22,Internet,Deptford,New Jersey,8096,Open,No
217999,Misleading information given,2015-04-04,04 April 2015,16:21:46,Internet,Des Moines,Washington,98148,Closed,Yes
243449,Contract Cancellation Fees and Unauthorized Changes,2015-04-18,18 April 2015,22:44:07,Customer Care Call,Des Plaines,Illinois,60016,Closed,Yes
239699,no internet service no on demand service,2015-04-16,16 April 2015,15:24:48,Internet,Detroit,Michigan,48207,Closed,No
249477,internet and on demand service,2015-04-22,22 April 2015,09:09:19,Internet,Detroit,Michigan,48207,Closed,No
306959,Unfair Charges and substandard service,2015-05-26,26 May 2015,12:17:40,Internet,Detroit,Michigan,48216,Solved,No
339008,Comcast Automatic Payments,2015-06-13,13 June 2015,13:07:49,Internet,Detroit,Michigan,48205,Solved,No
373332,Outage and unfair practices,2015-06-29,29 June 2015,18:18:41,Customer Care Call,Detroit,Michigan,48226,Open,No
372553,Fraudolent pratice,2015-06-29,29 June 2015,14:54:20,Internet,Detroit,Michigan,48227,Solved,No
373429,Comcast service,2015-06-29,29 June 2015,18:48:08,Customer Care Call,Detroit,Michigan,48202,Open,No
376141,Comcast Billing Practices,2015-06-30,30 June 2015,20:56:03,Internet,Detroit,Michigan,48214,Solved,No
249164,Comcast,2015-04-21,21 April 2015,21:46:57,Internet,Dickson,Tennessee,37055,Closed,No
302143,Comcast Mistreatment,2015-05-21,21 May 2015,17:26:47,Internet,Doraville,Georgia,30340,Open,No
243607,Slow connection speed for wifi,2015-04-19,19 April 2015,12:29:29,Internet,Dorchester,Massachusetts,2121,Closed,No
359915,Comcast Speeds Low and Often Disconnections,2015-06-23,23 June 2015,19:32:22,Customer Care Call,Dos Palos,California,93620,Closed,Yes
275658,Comcast Service,2015-06-05,05 June 2015,11:37:09,Internet,Dothan,Alabama,36301,Closed,No
263790,Denial of Refund for Overpayment,2015-04-29,29 April 2015,11:53:57,Customer Care Call,Douglasville,Georgia,30135,Closed,No
362194,Comcast data cap,2015-06-24,24 June 2015,14:37:50,Internet,Douglasville,Georgia,30134,Pending,Yes
357874,Comcast unfair billing,2015-06-23,23 June 2015,11:40:33,Internet,Dover,Delaware,19901,Open,No
307493,Comcast,2015-05-26,26 May 2015,14:34:57,Internet,Dover,New Hampshire,3820,Open,Yes
363607,Slow Service,2015-06-24,24 June 2015,22:25:30,Internet,Dover,New Hampshire,3820,Pending,No
249591,Comcast Internet,2015-04-22,22 April 2015,10:17:22,Internet,Dover,Pennsylvania,17315,Closed,Yes
332712,Comcast,2015-10-06,06 October 2015,13:32:28,Customer Care Call,Dover,Pennsylvania,17315,Solved,No
363854,Internet Issue,2015-06-25,25 June 2015,07:21:10,Internet,Dover,Pennsylvania,17315,Open,No
258515,Business Class Service,2015-04-27,27 April 2015,11:21:58,Internet,Dowagiac,Michigan,49047,Closed,No
221068,DNS Web hosting,2015-07-04,04 July 2015,10:00:20,Customer Care Call,Downers Grove,Illinois,60515,Closed,No
266657,Fraudulent account,2015-04-30,30 April 2015,14:37:43,Internet,Downers Grove,Illinois,60515,Closed,No
238258,Comcast Internet Service Complaint,2015-04-15,15 April 2015,21:02:13,Internet,Doylestown,Pennsylvania,18901,Closed,Yes
270964,Billing Issues,2015-04-05,05 April 2015,01:09:57,Customer Care Call,Dublin,California,94568,Solved,Yes
256312,Comcast poor service or throttling,2015-04-24,24 April 2015,19:20:07,Customer Care Call,Dubois,Pennsylvania,15801,Closed,No
266686,Comcast Refuses to Fix Billing If a Virus Causes Data Usage Over Cap on a system protected by THEIR AV,2015-04-30,30 April 2015,14:50:13,Internet,Duluth,Georgia,30097,Closed,No
294252,No broadband service provided,2015-05-17,17 May 2015,22:15:53,Internet,Duluth,Georgia,30097,Closed,Yes
315855,Poor Service from Comcast,2015-05-31,31 May 2015,17:29:00,Customer Care Call,Duluth,Georgia,30096,Solved,No
373569,300 gb cap,2015-06-29,29 June 2015,19:46:15,Customer Care Call,Duluth,Georgia,30096,Pending,No
351246,Comcast Data Caps,2015-06-19,19 June 2015,10:37:18,Internet,Dunwoody,Georgia,30338,Solved,No
338638,Slow speeds poor service.,2015-06-13,13 June 2015,00:30:12,Internet,Dupont,Washington,98327,Open,No
364817,Billing and Service,2015-06-25,25 June 2015,12:53:38,Customer Care Call,Dupont,Washington,97238,Open,No
260681,comcast of indiana,2015-04-28,28 April 2015,08:43:37,Internet,Dyer,Indiana,46311,Closed,No
326518,Comcast trial of putting cap (300 GB / month) on internet usage.,2015-06-06,06 June 2015,06:40:10,Customer Care Call,Eads,Tennessee,38028,Solved,No
350956,Comcast Data Caps,2015-06-19,19 June 2015,02:47:34,Internet,Eads,Tennessee,38028,Open,No
354423,Comcast Data Cap & Code Injection,2015-06-20,20 June 2015,23:54:41,Internet,Eads,Tennessee,38028,Pending,No
255465,Comcast billing/service,2015-04-24,24 April 2015,14:22:50,Internet,East Brunswick,New Jersey,8816,Solved,No
285591,Comcast-flat fee contract-misrepresentation,2015-12-05,05 December 2015,13:11:10,Customer Care Call,East Brunswick,New Jersey,8816,Solved,No
344657,Comcast Internet problems,2015-06-16,16 June 2015,22:34:58,Internet,East Brunswick,New Jersey,8816,Solved,No
364868,Comcast Internet Billing,2015-06-25,25 June 2015,13:03:35,Customer Care Call,East Brunswick,New Jersey,8816,Open,Yes
369184,Comcast xfinity triple play,2015-06-26,26 June 2015,18:51:00,Customer Care Call,East Brunswick,New Jersey,8816,Solved,No
365648,Billing issues with Comcast,2015-06-25,25 June 2015,14:50:58,Customer Care Call,East Chicago,Indiana,46312,Solved,Yes
351497,Comcast Internet,2015-06-19,19 June 2015,11:42:57,Internet,East Liverpool,Ohio,43920,Solved,No
338674,Comcast outage - Bay Area,2015-06-13,13 June 2015,02:13:06,Internet,East Palo Alto,California,94303,Open,No
315759,Comcast of East Windsor NJ Complaint,2015-05-31,31 May 2015,15:25:33,Internet,East Windsor,New Jersey,8520,Pending,No
296722,Terrible Comcast service,2015-05-19,19 May 2015,11:35:47,Customer Care Call,Eden Prairie,Minnesota,55347,Closed,No
315836,Complaint against Comcast for incredibly bad service,2015-05-31,31 May 2015,16:47:08,Customer Care Call,Edgewood,Washington,98372,Pending,No
291175,Data Caps,2015-05-15,15 May 2015,02:17:50,Customer Care Call,Edina,Minnesota,55424,Open,No
319694,Internet service speed,2015-02-06,06 February 2015,18:23:49,Customer Care Call,Edmonds,Washington,98020,Closed,Yes
364449,Comcast xfinity price gouging seniors,2015-06-25,25 June 2015,12:07:07,Customer Care Call,Egg Harbor City,New Jersey,8215,Solved,No
275612,Misrepresentation of billing,2015-06-05,05 June 2015,11:18:43,Customer Care Call,El Cerrito,California,94530,Solved,No
